POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LC_LO,LC_LA
16758706,구로시장떡볶이골목,서울특별시,구로구,126.8855426,37.48881811
21085686,을지로타일상가,서울특별시,중구,126.98898,37.56637497
21085658,동대문패션타운,서울특별시,중구,127.0086616,37.56866403
7232777,오이도해양단지,경기도,시흥시,126.6902931,37.34640271
21085883,사강회센터,경기도,화성시,126.7362366,37.21304632
21086097,까치울음식테마마을,경기도,부천시,126.8138061,37.51514031
21085673,남산벚꽃길,서울특별시,중구,126.997873,37.55073092
7231419,임랑해수욕장,부산광역시,기장군,129.2642611,35.31869433
5614164,자동차용품거리,서울특별시,성동구,127.0655884,37.56114193
5045436,불광동먹자골목,서울특별시,은평구,126.9316098,37.61091263
21085594,광안리카페거리,부산광역시,수영구,129.1163874,35.15091579
21085644,경의선책거리,서울특별시,마포구,126.9295249,37.55615458
20868039,별내카페거리,경기도,남양주시,127.12689,37.6584065
22112767,김포대명포구드라이브코스,경기도,김포시,126.5460025,37.63601502
20953327,무학먹거리,경기도,시흥시,126.7838201,37.44040753
21085528,광교마루길,경기도,수원시 장안구,127.0319797,37.30227888
16401657,라페스타문화의거리,경기도,고양시 일산동구,126.7688517,37.66087221
21085526,문화의거리,경기도,시흥시,126.7865332,37.44070724
20868088,덕천동젊음의거리,부산광역시,북구,129.0070903,35.20989557
5965272,방배동카페골목,서울특별시,서초구,126.9866044,37.49499214
21085925,다대포생선회먹거리타운,부산광역시,사하구,128.9690998,35.04768943
17940758,장기동먹자골목,경기도,김포시,126.6715333,37.64403653
4930683,장충동족발골목,서울특별시,중구,127.0058071,37.55990318
5614155,의정부가구거리,경기도,의정부시,127.0498571,37.73555351
21086113,청량리통닭골목,서울특별시,동대문구,127.0424853,37.58042401
17400407,부산영화의거리,부산광역시,해운대구,129.1428007,35.15453406
21086147,추억의6070거리,경기도,안성시,127.2706234,37.00205352
22112757,두물머리강변길,경기도,양평군,127.3436055,37.58961953
21085874,작동오리촌,경기도,부천시,126.8138794,37.51475117
7232828,산정호수관광지,경기도,포천시,127.3190953,38.06935371
21085710,카페스트리트,서울특별시,송파구,127.1040392,37.51366999
21085940,신촌이대거리,서울특별시,서대문구,126.9391119,37.55739263
21085889,평택매운음식골목,경기도,평택시,127.0837189,36.99801578
21085907,파주골순두부촌,경기도,포천시,127.279099,38.02708376
16902068,오이도기념공원전망대,경기도,시흥시,126.6912671,37.33522539
16853862,방이동숙박촌,서울특별시,송파구,127.1128319,37.51620357
21086107,생선구이골목,부산광역시,중구,129.0283406,35.09644416
21086150,살롱아르테,경기도,성남시 분당구,127.1092784,37.39400097
8292366,도라산전망대,경기도,파주시,126.7005785,37.90838356
21086197,벚꽃십리길,서울특별시,금천구,126.8908296,37.46357063
20868045,성수동카페거리,서울특별시,성동구,127.0568099,37.54347679
21085707,서학당길,서울특별시,중구,126.9756595,37.56777124
21085550,분당문화의거리,경기도,성남시 분당구,127.120468,37.38287889
21086168,해운대로데오거리,부산광역시,해운대구,129.1702811,35.16248849
5728279,패션문화의거리,서울특별시,관악구,126.9290764,37.48632956
16827460,서래마을,서울특별시,서초구,126.9983203,37.49771194
21085939,돈의동갈매기살골목,서울특별시,종로구,126.9908761,37.57312902
20868021,419카페거리,서울특별시,강북구,127.0042407,37.64405297
16762531,범일동귀금속거리,부산광역시,부산진구,129.0602288,35.14199211
21085928,초량돼지갈비골목,부산광역시,동구,129.0406351,35.11865548
16538561,동래파전골목,부산광역시,동래구,129.0837007,35.20450457
7231234,다대포해수욕장,부산광역시,사하구,128.9656952,35.04701138
21085636,광복로쌈지골목길,부산광역시,중구,129.0311056,35.09917363
6851696,수지외식타운,경기도,용인시 수지구,127.0956548,37.32772478
21085592,빵천동문화1번가,부산광역시,수영구,129.1096309,35.14181303
16840842,방아머리해수욕장,경기도,안산시 단원구,126.5764584,37.28882307
17499173,아리랑거리,부산광역시,중구,129.0288841,35.10009058
7460853,일산로데오거리,경기도,고양시 일산서구,126.7554627,37.69301327
21086027,하니사랑길,서울특별시,강동구,127.1226628,37.52845392
11090329,쁘띠프랑스,경기도,가평군,127.4905622,37.71507267
21085893,독산성음식문화거리,경기도,오산시,127.0269302,37.1787945
21085949,주꾸미골목,서울특별시,강동구,127.1264149,37.53703108
17510827,철산로데오거리,경기도,광명시,126.868587,37.47531429
1155049,죽전로데오거리,경기도,용인시 수지구,127.1089415,37.32995242
22179318,부산민락동횟집거리,부산광역시,수영구,129.1249475,35.15541249
20820762,기장해녀촌,부산광역시,기장군,129.2280828,35.21796428
21525305,DDP패션몰,서울특별시,중구,127.0121476,37.56735819
21085517,안산다문화거리,경기도,안산시 단원구,126.7905466,37.32962651
10620415,을지로페인트거리,서울특별시,중구,126.9919159,37.56711133
17435630,을지로가구거리,서울특별시,중구,126.9983442,37.56552893
20868097,골드테마거리,부산광역시,부산진구,129.0608506,35.1423507
20907391,명동만화의거리재미로,서울특별시,중구,126.9854872,37.56065454
20820739,밤리단길,경기도,고양시 일산동구,126.7846907,37.66924736
21086171,송도카페거리,부산광역시,서구,129.015959,35.07504046
16490347,수원가구거리,경기도,수원시 권선구,127.0265859,37.25904912
21085616,명륜1번가,부산광역시,동래구,129.0800287,35.20583409
21085549,사리골참치거리,경기도,안산시 단원구,126.8306432,37.31149413
21086146,매산로테마거리,경기도,수원시 팔달구,126.9984728,37.26949238
21085712,백초월길,서울특별시,은평구,126.9446309,37.63997954
18983292,수원남문시장푸드트럭거리,경기도,수원시 팔달구,127.0184812,37.27777272
21085678,장안평제방길,서울특별시,동대문구,127.0772465,37.57263671
5967113,평촌먹자골목,경기도,안양시 동안구,126.9599545,37.38174861
18109374,연변두부마을,서울특별시,영등포구,126.8972958,37.49509089
16850906,운악산우리콩두부마을,경기도,가평군,127.3490982,37.86533402
23350731,신갈외식타운,경기도,용인시 기흥구,127.1051304,37.27973437
21085960,관철동불닭골목,서울특별시,종로구,126.9844609,37.56904143
8479734,우이동먹거리마을,서울특별시,강북구,127.0118654,37.66451838
21085675,신세계백화점파미에스트리트,서울특별시,서초구,127.0043533,37.50544329
21085904,춘궁동한식마을,경기도,하남시,127.1937236,37.52169586
21420148,우림맛솜씨길,서울특별시,중랑구,127.0963998,37.59832582
8292666,임진각,경기도,파주시,126.740547,37.89112339
21085648,청담동명품거리,서울특별시,강남구,127.0460441,37.526129
21086117,무교동낙지거리,서울특별시,종로구,126.9793031,37.57165703
21085958,냉면거리,서울특별시,강동구,127.1295999,37.54166237
16793833,송강누리길,경기도,고양시 덕양구,126.8661471,37.67973022
21085524,평촌로데오거리,경기도,안양시 동안구,126.9535421,37.39062733
16515646,천호동로데오거리,서울특별시,강동구,127.1276305,37.53940477
11365495,건대로데오거리,서울특별시,광진구,127.0676224,37.5402757
21085931,금샘로먹거리타운,부산광역시,금정구,129.0772052,35.27927166
21086094,기흥맛깔촌,경기도,용인시 기흥구,127.1065426,37.26868183
16834118,여주중앙로문화의거리,경기도,여주시,127.6355573,37.29697282
21086172,서면공구골목,부산광역시,부산진구,129.0605782,35.15713301
21085608,시티스폿,부산광역시,중구,129.0300215,35.09949811
22113459,청룡사드라이브코스,경기도,안성시,127.2631752,36.9323272
21085519,안정리로데오거리,경기도,평택시,127.0451374,36.96024862
21086174,누나의길,부산광역시,동구,129.0536606,35.14191631
16470308,노원문화의거리,서울특별시,노원구,127.0642371,37.65595719
16462344,좌천동가구거리,부산광역시,동구,129.0549956,35.13461164
21085607,온천천벚꽃터널,부산광역시,동래구,129.1055836,35.19099587
5614151,반포치킨거리,서울특별시,서초구,127.0208284,37.50373308
16716548,신발골목,부산광역시,중구,129.0293375,35.10055541
21086191,압구정토끼굴,서울특별시,강남구,127.0417928,37.5306427
20916454,을지로노가리골목,서울특별시,중구,126.991883,37.56730832
21086180,부평동죽집골목,부산광역시,중구,129.0266597,35.10296079
4988896,달맞이고개,부산광역시,해운대구,129.1822151,35.15758232
20868116,신리천카페거리,경기도,화성시,127.1037102,37.18434401
5614177,부산해운대모텔촌,부산광역시,해운대구,129.1606581,35.16111498
21085885,효자촌먹자골목,경기도,성남시 분당구,127.1384894,37.37829667
16716532,꽃골목,부산광역시,중구,129.0297727,35.0994815
21085691,아틀리에길,서울특별시,성동구,127.040901,37.54713481
21085622,달맞이갤러리촌,부산광역시,해운대구,129.1822602,35.15758034
17541280,범천동조방낙지골목,부산광역시,부산진구,129.060797,35.14205368
20868084,행리단길,경기도,수원시 팔달구,127.012805,37.28526133
21085647,젊음의거리,서울특별시,종로구,126.9857286,37.56923624
20638843,안산세계음식플랫폼,경기도,안산시 단원구,126.7900443,37.33180509
16568917,홍대걷고싶은거리,서울특별시,마포구,126.9232526,37.55511289
13824745,양평레일바이크,경기도,양평군,127.5865552,37.47971084
21085924,해녀촌,부산광역시,서구,129.0213994,35.06272284
20868046,세로수길,서울특별시,강남구,127.0221376,37.52106146
10620404,부평동한복거리,부산광역시,중구,129.0271723,35.10092406
21085543,국제자매도시테마거리,경기도,수원시 팔달구,127.0330718,37.25981474
16716552,문구거리,부산광역시,중구,129.0278006,35.10064909
21085531,퇴촌카페촌,경기도,광주시,127.3321647,37.45781883
6397150,이태원관광특구,서울특별시,용산구,126.9963996,37.5346212
21085657,문래역로데오거리,서울특별시,영등포구,126.8964918,37.51746277
17413264,먹거리촌,서울특별시,금천구,126.8795024,37.4804418
20868025,광교숲속마을,경기도,용인시 수지구,127.080227,37.29686681
5268284,체인지업캠퍼스,경기도,파주시,126.6998896,37.7843022
21085619,동천은행나무길,부산광역시,부산진구,129.0624432,35.1558973
21009756,파주맛고을음식문화거리,경기도,파주시,126.6853872,37.79150227
17908472,골프로데오거리,서울특별시,강남구,127.0366422,37.49111936
21085659,해방촌예술마을,서울특별시,용산구,126.9817231,37.54625669
21419989,논현동먹자골목,서울특별시,강남구,127.0234255,37.5097359
16845578,종로귀금속거리,서울특별시,종로구,126.9931538,37.57086977
21085653,남산돈가스거리,서울특별시,중구,126.9858625,37.55697191
21086109,서면특화거리,부산광역시,부산진구,129.0598929,35.15449517
21086166,초량이바구길,부산광역시,동구,129.0387838,35.11636879
8292513,세종천문대,경기도,여주시,127.7537714,37.25729913
16810151,국화도해수욕장,경기도,화성시,126.5575911,37.06269609
20868098,광명가구거리,경기도,광명시,126.8558612,37.48265582
22112745,인왕산길,서울특별시,종로구,126.9721641,37.5964834
21085875,수원곱창골목,경기도,수원시 영통구,127.0758737,37.25174388
21085668,위례성길,서울특별시,송파구,127.1257141,37.51292124
21085665,우사단길,서울특별시,용산구,126.9998696,37.53208404
21086188,홍대예술의거리,서울특별시,마포구,126.921408,37.55204442
4930658,문정로데오거리,서울특별시,송파구,127.1231963,37.48988264
5967018,건대앞먹자골목,서울특별시,광진구,127.0700696,37.54078687
21086098,남한산성전통음식마을,경기도,광주시,127.1907029,37.47582202
21085897,불암동갈비골목,경기도,남양주시,127.1089316,37.64724583
21086170,남포동거리,부산광역시,중구,129.0289577,35.09940063
5075408,먹거리타운,경기도,시흥시,126.7408211,37.35014053
5967488,월곶포구,경기도,시흥시,126.7392291,37.38773266
21863242,광안동곱창거리,부산광역시,수영구,129.1176067,35.16734819
21086169,전리단길,부산광역시,부산진구,129.0649074,35.15875351
4904941,신당동떡볶이골목,서울특별시,중구,127.0150482,37.563323
21085663,자전거거리,서울특별시,강동구,127.1256776,37.54546147
21085624,영도다리목생약건재상거리,부산광역시,중구,129.0357737,35.09711271
20934475,옛주막거리,서울특별시,구로구,126.8329074,37.49157244
21086173,대한민국임시수도기념거리,부산광역시,서구,129.0196927,35.10342657
20868037,망리단길,서울특별시,마포구,126.9054931,37.55411282
21085865,화서역먹자골목,경기도,수원시 팔달구,126.9889858,37.28732856
20868042,샤로수길,서울특별시,관악구,126.9555807,37.47860113
21085625,초리단길,부산광역시,부산진구,129.0482525,35.18546162
17413293,수원통닭거리,경기도,수원시 팔달구,127.0177058,37.28006081
5614296,양수리카페촌,경기도,남양주시,127.3558781,37.63553931
21085927,주꾸미구이골목,부산광역시,중구,129.0362579,35.10070927
18264388,익선동한옥마을,서울특별시,종로구,126.9900325,37.57364789
5968009,문현동곱창골목,부산광역시,남구,129.0696899,35.13571011
21085551,프로포즈존,경기도,군포시,126.9317131,37.35971512
17459104,산성흑염소먹거리촌,부산광역시,금정구,129.0565303,35.24406911
5965740,천호동먹자골목,서울특별시,강동구,127.1272828,37.5390352
16586921,이천농업농촌테마공원,경기도,이천시,127.4448576,37.17814937
17500737,가평레일파크,경기도,가평군,127.5158879,37.82889986
21420131,소나무길,서울특별시,종로구,127.0001694,37.58217048
21085599,구제골목,부산광역시,중구,129.0288429,35.10132018
21085595,강서낙동강변30리벚꽃길,부산광역시,강서구,128.9842817,35.20956718
16716559,갈비골목,부산광역시,중구,129.028595,35.10221474
21086028,영화인의거리,서울특별시,중구,126.9904023,37.56221978
21085709,통일로,서울특별시,서대문구,126.9392562,37.59617472
16848558,평택호횟타운,경기도,평택시,126.9102976,36.91476243
21086030,관악로,서울특별시,관악구,126.9525409,37.47144741
21086091,도예촌쌀밥거리,경기도,이천시,127.4010313,37.31110889
21085638,비프빌리지,부산광역시,해운대구,129.1597279,35.15878783
21085685,연세대학교백양로,서울특별시,서대문구,126.9370579,37.56126928
21645964,부산자갈치양곱창골목,부산광역시,중구,129.0286427,35.097415
21086190,안산벚꽃길,서울특별시,서대문구,126.9383509,37.57943033
21086089,광교외식타운,경기도,수원시 영통구,127.0546804,37.3121497
6820488,중국대사관거리,서울특별시,중구,126.9827281,37.56235631
21085655,청계천애완동물거리,서울특별시,종로구,127.0153265,37.57001846
16716528,전자골목,부산광역시,중구,129.0294533,35.09955992
21085661,퀴논길,서울특별시,용산구,126.9918818,37.53387121
16690926,대성리패션아울렛,경기도,가평군,127.3779175,37.68348347
20906342,동대문닭한마리골목,서울특별시,종로구,127.0056137,37.57031934
16847154,공덕동족발골목,서울특별시,마포구,126.9530491,37.54480409
21086021,다산성곽길,서울특별시,중구,127.0048803,37.55424468
21085552,모꼬지길,경기도,수원시 영통구,127.0439015,37.25745789
21085609,구포만세역사테마거리,부산광역시,북구,129.000261,35.20799948
22216010,칠암붕장어마을,부산광역시,기장군,129.2600802,35.29769286
21085708,이화대학로거리,서울특별시,종로구,127.0027531,37.58021493
16535619,연신내로데오거리,서울특별시,은평구,126.9194734,37.61877873
22660035,영도포장마차거리,부산광역시,영도구,129.0387454,35.09445438
21085676,회기동벽화골목,서울특별시,동대문구,127.0545482,37.59184009
17421570,중계동학원가,서울특별시,노원구,127.0765644,37.65012491
21085942,일원동맛의거리,서울특별시,강남구,127.0819614,37.48950426
21085937,을지로3가골뱅이골목,서울특별시,중구,126.9894285,37.56495152
8292734,중미산자연휴양림중미산천문대,경기도,양평군,127.4594027,37.58182084
21086196,청계천매화거리,서울특별시,성동구,127.0486307,37.56647803
21085899,오이도음식문화거리,경기도,시흥시,126.6876686,37.3452599
7231190,일광해수욕장,부산광역시,기장군,129.2341058,35.25960421
10620407,웨딩드레스상가,서울특별시,강남구,127.0379837,37.52734422
21085633,점바치골목,부산광역시,중구,129.0362299,35.09693572
21645735,서면향토음식특화거리,부산광역시,부산진구,129.0583845,35.15587691
11183699,미음나루음식문화거리,경기도,남양주시,127.1700639,37.58661773
6322586,문현곱창골목,부산광역시,남구,129.0685188,35.1357196
16526729,왕십리곱창골목,서울특별시,성동구,127.0364223,37.56542266
21085629,엔터테이너거리,부산광역시,중구,129.0325998,35.09840604
21086187,한남동카페거리,서울특별시,용산구,127.0015847,37.53697103
16910877,제부도음식문화시범거리,경기도,화성시,126.617632,37.17235057
21086193,동대문러시아거리,서울특별시,중구,127.0058496,37.56491603
21085699,창신동인장거리,서울특별시,종로구,127.0135067,37.5720874
21085681,오토바이거리,서울특별시,중구,127.0002446,37.56265998
21085909,용문천년시장버섯국밥거리,경기도,양평군,127.5947449,37.48386897
4930680,인사동거리,서울특별시,종로구,126.986007,37.57322248
21085888,아산조개구이골목,경기도,평택시,126.9062038,36.92099597
5965690,신사동먹자골목,서울특별시,서초구,127.0187611,37.5147863
16423156,백현동카페거리,경기도,성남시 분당구,127.1116318,37.38525436
17739030,해방촌,서울특별시,용산구,126.9853165,37.54507722
20868113,댕리단길,경기도,안양시 만안구,126.9175912,37.40087458
